Year,Rainfall_june_aug,Yeild_hg_per_ha
1990,33216.3,15178
1991,32804.3,13763
1992,30788.3,16758
1993,29985.9,16015
1994,35361.3,14480
1995,32364.7,15946
1996,31623.7,17094
1997,32356.6,17111
1998,31619.9,17969
1999,29466.6,17922
2000,29789.5,18216
2001,29204.9,19996
2002,24671.7,16807
2004,28739.5,19073
2005,29731.6,19385
2006,30671.6,19125
2007,33982.2,23352
2008,30951.6,24140
2009,24849.1,20238
2010,31304.6,25401
2011,31867.4,24784
2012,27905.8,25557
2013,33635.7,25726
2014,29037.9,26760
2015,29954.6,26320
